ID,year,maxtemperature,mintemperature,precipitation,evapotranspiration,radiation,pressure,rainfall59,rainfall410,ET59,ET410,Maxtem59,Maxtem410,Mintem59,Mintem410,Radiation59,Radiation410,Pressure59,Pressure410,AnnMact,MeDS,MeWS,MxDS,MxWS,RD,RI,Extraction,recharge
ID,year,19.175,9.5,795.4,1263,14.88333333,11.99166667,557.9,647.1,282.2,466,15.1,16.25714286,7.14,7.8,9.42,10.72857143,10.58,11.01428571,2.123287671,4.711538462,2.352941176,21,8,120,6.3225,59.532103,0.75
ID,year,18.75833333,9.075,728.4,1184.4,15.08333333,11.775,508.9,583.3,234,414,14.9,16.1,7.32,7.942857143,8.88,10.31428571,10.94,11.15714286,2.17890411,4.210526316,2.232142857,38,8,125,5.5472,62.03263,0.53000069
ID,year,18.13333333,9.025,967.8,1061.8,13.75,11.99166667,548.2,774.4,228.8,396,14.02,15.4,6.44,7.257142857,8.52,10.01428571,10.36,10.9,2.057103825,4.018181818,2.636363636,28,11,145,6.42137931,65.698369,0.97999954
ID,year,19.23333333,8.991666667,683.3,1184,14.775,12.075,420.9,505.5,260.8,466.4,15.52,16.7,7.14,7.442857143,9.14,11.01428571,10.88,11.04285714,2.18739726,4.603773585,2.326923077,24,7,121,5.334710744,69.958146,0.1400013
ID,year,18.8,8.841666667,675.4,1244,15,11.525,421.2,503.9,274,472.4,14.84,16.11428571,6.74,7.4,9.44,10.97142857,10.2,10.64285714,2.116438356,4.72,2.632653061,34,9,129,5.017054264,76.588134,0.26000023
ID,year,17.98333333,8.875,693.6,1251.8,14.83333333,11.84166667,403.4,522,260.4,435.8,14.58,15.31428571,7.06,7.285714286,9.12,10.48571429,10.8,10.97142857,2.236164384,4.105263158,2.339285714,18,15,131,5.096183206,80.629684,0.30999947
ID,year,18.025,8.833333333,890.5,1291,15.025,11.725,654.5,738.9,280.2,468.2,14.74,15.55714286,7.1,7.585714286,9.16,10.75714286,10.8,11.11428571,2.254098361,4.37037037,2.407407407,22,9,130,6.568461538,87.88845,0.90999985
ID,year,18.59166667,9.175,659.8,1320.4,15.14166667,11.88333333,442.2,495.8,241.6,443.8,14.28,15.55714286,6.62,7.214285714,9.16,10.81428571,10.54,10.87142857,2.243835616,4.362068966,1.964912281,15,6,112,5.511607143,104.755677,0.23999977
ID,year,18.30833333,8.7,735.1,1308.6,15.225,11.76666667,441.1,572.3,267.2,446.4,14.68,15.38571429,6.56,7.028571429,9.42,10.9,10.62,10.84285714,2.280821918,4.685185185,2.113207547,14,6,112,6.272321429,115.558075,0.44333267
ID,year,18.95833333,9.425,735.9,1338.4,15.025,12.45,433.7,508.6,298.4,491.4,15.56,16.4,7.44,7.714285714,9.34,11.12857143,11.32,11.5,2.312328767,4.555555556,2.245283019,25,6,119,5.933613445,121.963096,0.64666557
ID,year,19.21666667,9.616666667,933.2,1377,15.26666667,12.39166667,629,821.6,262.4,452.4,14.6,15.81428571,7.28,7.857142857,9.04,10.62857143,11.02,11.42857143,2.305737705,4.388888889,2.433962264,42,11,129,7.005426357,126.794198,0.84999847
ID,year,18.85833333,9.408333333,872.9,1270.6,14.70833333,12.31666667,471.4,616.1,263.4,443.6,15.5,16.15714286,7.42,7.771428571,9.12,10.7,11.34,11.5,2.185205479,4.509433962,2.423076923,26,9,126,6.697619048,130.500471,0.44000053
ID,year,18.95,8.75,730,1273.6,15.2,11.825,487.3,581.7,313,503.2,15.54,16.62857143,6.64,7.328571429,9.84,11.18571429,10.48,11.07142857,2.226575342,5.14893617,2.5625,22,8,123,5.710569106,136.432283,0.17000008
ID,year,18.65833333,8.891666667,838.1,1286,15.6,12.01666667,535,634.3,279.8,456.6,14.72,15.62857143,6.72,7.085714286,9.54,11.24285714,10.56,10.91428571,2.388219178,4.660377358,2.226415094,23,8,118,6.903389831,140.489029,0.5
ID,year,18.56666667,8.891666667,927.5,1247.6,15.275,11.95,626.7,702.5,269.2,471,14.64,16.01428571,7.26,7.7,9.3,11.22857143,10.94,11.25714286,2.327322404,4.411764706,2.82,19,11,141,6.344680851,144.998797,0.96999931
ID,year,19.325,9.058333333,692.4,1286,15.11666667,11.68333333,420.9,536.1,285.8,512.2,15.48,16.81428571,7,7.6,9.5,11.21428571,10.48,10.85714286,2.122191781,5.319148936,2.5,28,9,115,5.734782609,150.246782,0.51999855
ID,year,19.18333333,8.158333333,541.4,1363.8,15.9,10.95833333,309.5,410.5,273,501,14.68,15.78571429,5.78,6.271428571,9.6,11.44285714,9.94,9.928571429,2.105753425,4.759259259,2,29,10,108,4.771296296,154.735241,0.4649992
ID,year,19.975,9.491666667,820,1383.6,15.86666667,11.90833333,499.6,596.6,302.6,518.4,15.24,16.58571429,7.38,7.8,9.72,11.51428571,10.44,10.72857143,2.213972603,5.720930233,2.833333333,25,9,119,6.634453782,162.054531,0.40999985
ID,year,18.95833333,8.808333333,690.3,1305.4,15.43333333,11.125,420.8,489.9,258.8,470,14.6,16.04285714,6.72,7.114285714,9.62,11.32857143,10.18,10.41428571,2.02568306,4.403508772,2.053571429,26,7,115,5.725217391,165.974213,0.29999924
ID,year,19.65,9.091666667,894.6,1287.6,15.75833333,11.75,591.5,723.5,261.8,440.6,15.08,16.04285714,7.2,7.442857143,9.22,11.08571429,10.64,10.8,2.22630137,5.304347826,2.688888889,37,13,121,7.161157025,168.775051,0.85000038
ID,year,19.025,8.783333333,825.7,1147.4,14.95,11.975,471.9,597,214.4,392,14.28,15.64285714,6.14,7.042857143,8.88,10.55714286,10.4,10.94285714,2.178630137,4.140350877,2.303571429,17,7,129,6.144186047,169.522738,0.45000076
ID,year,18.98333333,9.191666667,826.7,1159.8,14.7,12.16666667,437.5,523,268.4,447.6,15.22,16.25714286,7.08,7.642857143,9.34,10.72857143,10.6,11,2.198356164,3.983870968,1.93442623,16,9,118,6.737288136,170.353008,0.24000168
ID,year,19.59166667,9,720.2,1392.4,15.225,11.69166667,509.1,589.6,283.6,500.4,14.7,16.15714286,6.7,7.185714286,9.1,10.82857143,10.5,10.78571429,2.079508197,5.108695652,2.911111111,22,7,131,5.296946565,172.018451,0.38999939
