ID,year,maxtemperature,mintemperature,precipitation,evapotranspiration,radiation,pressure,AnnMact,MeDS,MeWS,MxDS,MxWS,RD,RI,Extraction,recharge
ID,year,18.95833333,9.425,735.9,1338.4,15.025,12.45,2.312328767,4.555555556,2.245283019,25,6,119,5.933613445,121.963096,0.64666557
ID,year,19.21666667,9.616666667,933.2,1377,15.26666667,12.39166667,2.305737705,4.388888889,2.433962264,42,11,129,7.005426357,126.794198,0.84999847
ID,year,18.85833333,9.408333333,872.9,1270.6,14.70833333,12.31666667,2.185205479,4.509433962,2.423076923,26,9,126,6.697619048,130.500471,0.44000053
ID,year,18.95,8.75,730,1273.6,15.2,11.825,2.226575342,5.14893617,2.5625,22,8,123,5.710569106,136.432283,0.17000008
ID,year,18.65833333,8.891666667,838.1,1286,15.6,12.01666667,2.388219178,4.660377358,2.226415094,23,8,118,6.903389831,140.489029,0.5
ID,year,18.56666667,8.891666667,927.5,1247.6,15.275,11.95,2.327322404,4.411764706,2.82,19,11,141,6.344680851,144.998797,0.96999931
ID,year,19.325,9.058333333,692.4,1286,15.11666667,11.68333333,2.122191781,5.319148936,2.5,28,9,115,5.734782609,150.246782,0.51999855
ID,year,19.18333333,8.158333333,541.4,1363.8,15.9,10.95833333,2.105753425,4.759259259,2,29,10,108,4.771296296,154.735241,0.4649992
ID,year,19.975,9.491666667,820,1383.6,15.86666667,11.90833333,2.213972603,5.720930233,2.833333333,25,9,119,6.634453782,162.054531,0.40999985
ID,year,18.95833333,8.808333333,690.3,1305.4,15.43333333,11.125,2.02568306,4.403508772,2.053571429,26,7,115,5.725217391,165.974213,0.29999924
ID,year,19.65,9.091666667,894.6,1287.6,15.75833333,11.75,2.22630137,5.304347826,2.688888889,37,13,121,7.161157025,168.775051,0.85000038
ID,year,19.025,8.783333333,825.7,1147.4,14.95,11.975,2.178630137,4.140350877,2.303571429,17,7,129,6.144186047,169.522738,0.45000076
ID,year,18.98333333,9.191666667,826.7,1159.8,14.7,12.16666667,2.198356164,3.983870968,1.93442623,16,9,118,6.737288136,170.353008,0.24000168
ID,year,19.59166667,9,720.2,1392.4,15.225,11.69166667,2.079508197,5.108695652,2.911111111,22,7,131,5.296946565,172.018451,0.38999939
